"Name","DisplayName","PathName","State","StartMode","Description"
"VSTXRAID","VIA StorX Storage RAID Controller Windows Driver","C:\WINDOWS\system32\drivers\vstxraid.sys","Stopped","Manual","VIA StorX Storage RAID Controller Windows Driver"
"vwifibus","Virtual Wireless Bus Driver","C:\WINDOWS\system32\DriverStore\FileRepository\netvwifibus.inf_amd64_ab4e111fe8221178\vwifibus.sys","Stopped","Manual","Virtual Wireless Bus Driver"
"vwififlt","Virtual WiFi Filter Driver","C:\WINDOWS\system32\drivers\vwififlt.sys","Running","System","Virtual WiFi Filter Driver"
"WacHidRouterPro","Wacom Hid Router Pro","C:\WINDOWS\system32\drivers\wachidrouter.sys","Stopped","Manual","Wacom Hid Router Pro"
"WacomPen","Wacom Serial Pen HID Driver","C:\WINDOWS\system32\drivers\wacompen.sys","Stopped","Manual","Wacom Serial Pen HID Driver"
"wacomrouterfilter","Wacom Router Filter Driver","C:\WINDOWS\system32\drivers\wacomrouterfilter.sys","Stopped","Manual","Wacom Router Filter Driver"
"wanarp","Remote Access IP ARP Driver","C:\WINDOWS\system32\DRIVERS\wanarp.sys","Running","Auto","Remote Access IP ARP Driver"
"wanarpv6","Remote Access IPv6 ARP Driver","C:\WINDOWS\system32\DRIVERS\wanarp.sys","Stopped","Manual","Remote Access IPv6 ARP Driver"
"wcifs","Windows Container Isolation","C:\WINDOWS\system32\drivers\wcifs.sys","Running","Auto","Windows Container Isolation"
"WdBoot","Microsoft Defender Antivirus Boot Driver","C:\WINDOWS\system32\drivers\wd\WdBoot.sys","Stopped","Boot","Microsoft Defender Antivirus Boot Driver"
"Wdf01000","Kernel Mode Driver Frameworks service","C:\WINDOWS\system32\drivers\Wdf01000.sys","Running","Boot","Kernel Mode Driver Frameworks service"
"WdFilter","Microsoft Defender Antivirus Mini-Filter Driver","C:\WINDOWS\system32\drivers\wd\WdFilter.sys","Running","Boot","Microsoft Defender Antivirus Mini-Filter Driver"
"wdiwifi","WDI Driver Framework","C:\WINDOWS\system32\DRIVERS\wdiwifi.sys","Stopped","Manual","WDI Driver Framework"
"WdmCompanionFilter","WdmCompanionFilter","C:\WINDOWS\system32\drivers\WdmCompanionFilter.sys","Stopped","Manual","WdmCompanionFilter"
"WdNisDrv","Microsoft Defender Antivirus Network Inspection System Driver","C:\WINDOWS\system32\drivers\wd\WdNisDrv.sys","Running","Manual","Microsoft Defender Antivirus Network Inspection System Driver"
"WFPLWFS","Microsoft Windows Filtering Platform","C:\WINDOWS\system32\drivers\wfplwfs.sys","Running","Boot","Microsoft Windows Filtering Platform"
"Wificx","Wifi Network Adapter Class Extension","C:\WINDOWS\system32\drivers\WifiCx.sys","Running","Manual","Wifi Network Adapter Class Extension"
"WIMMount","WIMMount","C:\WINDOWS\system32\drivers\wimmount.sys","Stopped","Manual","WIMMount"
"WinAccelCx0101","Microsoft Accelerator Class Extension Driver","C:\WINDOWS\system32\drivers\WinAccelCx.sys","Stopped","Manual","Microsoft Accelerator Class Extension Driver"
"WindowsTrustedRT","Windows Trusted Execution Environment Class Extension","C:\WINDOWS\system32\drivers\WindowsTrustedRT.sys","Running","Boot","Windows Trusted Execution Environment Class Extension"
"WindowsTrustedRTProxy","Microsoft Windows Trusted Runtime Secure Service","C:\WINDOWS\system32\drivers\WindowsTrustedRTProxy.sys","Running","Boot","Microsoft Windows Trusted Runtime Secure Service"
"wini3ctarget","Generic driver for I3C Target Devices","C:\WINDOWS\system32\DriverStore\FileRepository\wini3ctarget.inf_amd64_9bda3f893989b4a6\wini3ctarget.sys","Stopped","Manual","Generic driver for I3C Target Devices"
"WinMad","WinMad Service","C:\WINDOWS\system32\drivers\winmad.sys","Stopped","Manual","WinMad Service"
"WinNat","Windows NAT Driver","C:\WINDOWS\system32\drivers\winnat.sys","Stopped","Manual","Windows NAT Driver"
"WINUSB","WinUsb Driver","C:\WINDOWS\system32\drivers\WinUsb.sys","Running","Manual","WinUsb Driver"
"WinVerbs","WinVerbs Service","C:\WINDOWS\system32\drivers\winverbs.sys","Stopped","Manual","WinVerbs Service"
"WireGuard","WireGuard","C:\WINDOWS\system32\drivers\wireguard.sys","Running","Manual","WireGuard"
"WmiAcpi","Microsoft Windows Management Interface for ACPI","C:\WINDOWS\system32\drivers\wmiacpi.sys","Running","Manual","Microsoft Windows Management Interface for ACPI"
"Wof","Windows Overlay File System Filter Driver","C:\WINDOWS\system32\drivers\Wof.sys","Running","Boot","Windows Overlay File System Filter Driver"
"WpdUpFltr","WPD Upper Class Filter Driver","C:\WINDOWS\system32\drivers\WpdUpFltr.sys","Running","Manual","WPD Upper Class Filter Driver"
"ws2ifsl","Windows Socket 2.0 Non-IFS Service Provider Support Environment","C:\WINDOWS\system32\drivers\ws2ifsl.sys","Running","System","Windows Socket 2.0 Non-IFS Service Provider Support Environment"
"wtd","wtd","C:\WINDOWS\system32\drivers\wtd.sys","Running","Auto","wtd"
"WudfPf","User Mode Driver Frameworks Platform Driver","C:\WINDOWS\system32\drivers\WudfPf.sys","Stopped","Manual","User Mode Driver Frameworks Platform Driver"
"WUDFRd","Windows Driver Foundation - User-mode Driver Framework Reflector","C:\WINDOWS\system32\drivers\WUDFRd.sys","Running","Manual","Windows Driver Foundation - User-mode Driver Framework Reflector"
"WUDFWpdFs","WPD File System driver","C:\WINDOWS\system32\drivers\WUDFRd.sys","Running","Manual","WPD File System driver"
"WUDFWpdMtp","WUDFWpdMtp","C:\WINDOWS\system32\drivers\WUDFRd.sys","Running","Manual","WUDFWpdMtp"
"xboxgip","Xbox Game Input Protocol Driver","C:\WINDOWS\system32\drivers\xboxgip.sys","Stopped","Manual","Xbox Game Input Protocol Driver"
"xinputhid","XINPUT HID Filter Driver","C:\WINDOWS\system32\drivers\xinputhid.sys","Stopped","Manual","XINPUT HID Filter Driver"
"xusb22","Xbox 360 Wireless Receiver Driver Service 22","C:\WINDOWS\system32\drivers\xusb22.sys","Stopped","Manual","Xbox 360 Wireless Receiver Driver Service 22"
"Xvdd","XVDD Port Driver","C:\WINDOWS\system32\DriverStore\FileRepository\xvdd.inf_amd64_71ad808554cc22aa\xvdd.sys","Stopped","Manual","XVDD Port Driver"
"NTIOLib_MysticLight","NTIOLib_MysticLight","\??\C:\Program Files (x86)\MSI\MSI Center\Mystic Light\Lib\NTIOLib_X64.sys","Running","Manual","NTIOLib_MysticLight"
"NTIOLib_CC_COMM","NTIOLib_CC_COMM","\??\C:\Program Files (x86)\MSI\MSI Center\Lib\SYS\NTIOLib_X64.sys","Running","Manual","NTIOLib_CC_COMM"
"HWiNFO_204","HWiNFO Kernel Driver (v204)","\??\C:\Users\Nebula\AppData\Local\Temp\HWiNFO_x64_204.sys","Running","Manual","HWiNFO Kernel Driver (v204)"
